,Output_GAP,Inflation_1
0,0.9890981,1.0923209
1,0.99195933,1.1073625
2,0.9931571,1.1365259
3,0.99548405,1.1493181
4,0.9987554,1.1551338
5,1.000381,1.1550083
6,0.9996372,1.1469234
7,1.0005488,1.1466529
8,1.0023416,1.1399086
9,1.0026287,1.1493794
10,1.0026603,1.1477405
11,1.0028276,1.136782
12,1.0060731,1.1380206
13,1.0030646,1.1154048
14,0.98739946,1.0892828
15,0.9848952,1.0882509
16,0.9944635,1.0866582
17,0.9991049,1.100722
18,1.001381,1.1162761
19,1.0062673,1.1281716
20,1.009466,1.1174659
21,1.0114853,1.1096408
22,1.0105189,1.1221632
23,1.0051532,1.103116
24,0.9999601,1.0965294
25,0.9938875,1.0786353
26,0.99419767,1.0785205
27,0.9927338,1.0874608
28,0.99473846,1.0907278
29,0.99857086,1.1003546
30,1.0017793,1.1103263
31,1.0011907,1.104831
32,1.002381,1.1114696
33,1.002943,1.1014363
34,1.0035335,1.1025093
35,1.0043881,1.0996524
36,1.0072669,1.1164056
37,1.0064001,1.1092507
38,1.0065753,1.122232
39,1.0071625,1.1247406
40,1.0068718,1.1272672
41,1.0098044,1.1173046
42,1.0127473,1.1366414
43,1.0130671,1.1417779
44,1.0131702,1.1563603
45,1.015328,1.1671864
46,1.0157318,1.1725551
47,1.0203938,1.1699331
48,1.0224576,1.168715
49,1.0230216,1.1671916
50,1.016781,1.1668847
51,1.0127232,1.1574405
52,1.0124972,1.1537126
53,1.0162562,1.1506585
54,1.0205401,1.16066
55,1.0294292,1.1625055
56,1.0268257,1.160534
57,1.0295576,1.1531264
58,1.041253,1.1531991
59,1.054558,1.1378539
60,1.0547943,1.1348177
61,1.053182,1.1195391
62,1.0418236,1.1098502
63,1.0384222,1.1016778
64,1.0290912,1.1032058
65,1.0173212,1.0875186
66,1.0097916,1.1083869
67,1.0194991,1.1068617
68,1.0235564,1.1015878
69,1.0140965,1.0970876
70,1.0107201,1.1097053
71,1.0158633,1.129672
72,1.0185702,1.1320465
73,1.0224587,1.1445141
74,1.0439756,1.154711
75,1.0538366,1.1507443
76,1.0634516,1.1329323
77,1.0588498,1.1363076
78,1.0562131,1.1178117
79,1.0781082,1.1037885
80,1.081917,1.0879323
81,1.041808,1.0616689
82,1.0242915,1.0622613
83,1.0244068,1.0615634
84,1.0236368,1.063776
85,1.0190033,1.0796181
86,1.0169142,1.090349
87,1.0219309,1.0897187
88,1.0196143,1.0877314
89,1.015868,1.0881659
90,1.0167509,1.0904069
91,1.0223893,1.1039599
92,1.0290419,1.1130148
93,1.0307192,1.1020391
94,1.0316201,1.0973163
95,1.0462244,1.1323303
96,1.0512764,1.1316327
97,1.0601456,1.1337719
98,1.0619189,1.1257541
99,1.0631982,1.1166058
100,1.0740124,1.1110975
101,1.0875713,1.0973523
102,1.0931553,1.0942351
103,1.065697,1.0702913
104,1.0935618,1.06551
105,1.1029631,1.0838963
106,1.0969614,1.0879822
107,1.1034707,1.0837616
108,1.0980252,1.0847929
109,1.0973526,1.0661961
110,1.0862908,1.0375301
111,1.0789975,1.0345361
112,1.0554416,1.027862
113,1.0536402,1.0277817
114,1.0493567,1.0311475
115,1.045259,1.0433593
116,1.0564308,1.0581592
117,1.0576302,1.0778128
118,1.0575699,1.086041
119,1.0645812,1.0902826
120,1.0647682,1.0904267
121,1.0428473,1.0938756
122,1.0451221,1.0945039
123,1.0354496,1.0939442
124,1.0383815,1.0989141
