,date,Inflation,Output_Gap,Interest_Rate
0,2021-07-01,0.06358381,0.58823246,0.0
1,2021-10-01,0.06726222,0.744977,30.0
2,2022-01-01,0.082501315,0.8146353,14.21794
3,2022-04-01,0.11087756,0.86621606,30.0
4,2022-07-01,0.12664214,0.86282337,5.3451285
5,2022-10-01,0.12769312,0.7880506,25.168562
6,2023-01-01,0.13872832,0.8022705,7.5737143
7,2023-04-01,0.15134,0.7494865,4.942072
8,2023-07-01,0.1508145,0.8173582,25.396936
9,2023-10-01,0.15186548,0.8092715,12.194559
10,2024-01-01,0.15396743,0.73539245,0.0
11,2024-04-01,0.17866527,0.74420184,8.850291
12,2024-07-01,0.15291645,0.6081729,30.0
13,2024-10-01,0.059379928,0.36722276,13.742886
14,2025-01-01,0.045191802,0.35215214,28.951998
15,2025-04-01,0.08880714,0.44779488,9.307533
16,2025-07-01,0.12348923,0.5435102,7.7160645
17,2025-10-01,0.1434577,0.61009985,17.548983
18,2026-01-01,0.17446138,0.6968703,0.0
19,2026-04-01,0.19390436,0.6270303,6.969823
20,2026-07-01,0.20599054,0.5728001,30.0
21,2026-10-01,0.19810826,0.65386635,0.0
22,2027-01-01,0.17078297,0.54426366,21.705574
23,2027-04-01,0.13294798,0.50891143,26.218178
24,2027-07-01,0.10036784,0.3556242,0.0
25,2027-10-01,0.10246979,0.33828226,22.737368
26,2028-01-01,0.08723069,0.39337656,30.0
27,2028-04-01,0.09511298,0.46235806,0.0
28,2028-07-01,0.118759856,0.53364253,10.256583
29,2028-10-01,0.14608513,0.58907604,0.0
30,2029-01-01,0.13715187,0.5791519,1.8804842
31,2029-04-01,0.14871256,0.5880331,0.0
32,2029-07-01,0.15028901,0.5334191,0.0
33,2029-10-01,0.15291645,0.53238934,25.688599
34,2030-01-01,0.15344194,0.5348026,22.514322
35,2030-04-01,0.17919075,0.61215335,13.421764
36,2030-07-01,0.17393589,0.5833417,22.223173
37,2030-10-01,0.17656332,0.65526396,1.4921826
38,2031-01-01,0.18024172,0.65497214,28.375422
39,2031-04-01,0.17761429,0.6868513,30.0
40,2031-07-01,0.19863373,0.6316221,30.0
41,2031-10-01,0.20914346,0.7222534,0.0
42,2032-01-01,0.20914346,0.7355446,0.0
43,2032-04-01,0.207567,0.8152347,15.168432
44,2032-07-01,0.22333159,0.9022439,5.269128
45,2032-10-01,0.24119811,1.0,10.634106
46,2033-01-01,0.2679979,0.94639075,17.131884
47,2033-04-01,0.28008407,0.9295668,14.896245
48,2033-07-01,0.28008407,0.9112862,30.0
49,2033-10-01,0.23436679,0.89583904,1.6129106
50,2034-01-01,0.20546505,0.8193545,30.0
51,2034-04-01,0.20599054,0.8056821,16.641336
52,2034-07-01,0.23331581,0.7770878,30.0
53,2034-10-01,0.26169208,0.840305,30.0
54,2035-01-01,0.31529164,0.8798193,9.443376
55,2035-04-01,0.30005255,0.855193,24.880976
56,2035-07-01,0.3126642,0.80362797,0.0
57,2035-10-01,0.35312665,0.83951455,30.0
58,2036-01-01,0.46400422,0.7888448,9.94176
59,2036-04-01,0.47714135,0.7679943,0.0
60,2036-07-01,0.4676826,0.6692942,10.151445
61,2036-10-01,0.40409878,0.59884214,0.0
62,2037-01-01,0.3962165,0.55237246,8.661894
63,2037-04-01,0.32685235,0.5617149,20.643164
64,2037-07-01,0.25380978,0.43401948,30.0
65,2037-10-01,0.19127694,0.5634839,30.0
66,2038-01-01,0.25433525,0.5421343,30.0
67,2038-04-01,0.28796637,0.5388302,25.724844
68,2038-07-01,0.21387284,0.4955505,0.0
69,2038-10-01,0.19758277,0.56390464,18.210224
70,2039-01-01,0.2306884,0.6660276,30.0
71,2039-04-01,0.25223333,0.67887604,30.0
72,2039-07-01,0.27640566,0.7434665,30.0
73,2039-10-01,0.36889124,0.86397856,24.913305
74,2040-01-01,0.4424593,0.88275886,30.0
75,2040-04-01,0.5627956,0.783566,29.07698
76,2040-07-01,0.51918024,0.7891242,0.53712577
77,2040-10-01,0.48765108,0.66549045,1.8733289
78,2041-01-01,0.62322646,0.6212191,30.0
79,2041-04-01,0.5922228,0.49632218,0.0
80,2041-07-01,0.4445612,0.41292053,3.150166
81,2041-10-01,0.2874409,0.27611095,27.138649
82,2042-01-01,0.28796637,0.2709247,14.097811
83,2042-04-01,0.32422492,0.3322595,30.0
84,2042-07-01,0.26957434,0.3702476,0.0
85,2042-10-01,0.25065684,0.47003278,0.77768594
86,2043-01-01,0.28428796,0.46818706,12.751575
87,2043-04-01,0.27220178,0.45302537,26.297293
88,2043-07-01,0.24067262,0.44951978,10.499279
89,2043-10-01,0.24277456,0.47590998,18.735394
90,2044-01-01,0.2795586,0.5525789,26.587095
91,2044-04-01,0.31897005,0.6198079,28.161829
92,2044-07-01,0.34104046,0.5612108,25.162714
93,2044-10-01,0.35312665,0.5241011,9.417981
94,2045-01-01,0.395691,0.7299011,1.3530662
95,2045-04-01,0.44035733,0.7388969,8.949006
