,date,Inflation,Output_Gap,Interest_Rate
0,2021-07-01,0.06358381,0.58823246,30.0
1,2021-10-01,0.06726222,0.744977,30.0
2,2022-01-01,0.082501315,0.8146353,3.419415
3,2022-04-01,0.11087756,0.86621606,5.920422
4,2022-07-01,0.12664214,0.86282337,30.0
5,2022-10-01,0.12769312,0.7880506,0.0
6,2023-01-01,0.13872832,0.8022705,4.9129252
7,2023-04-01,0.15134,0.7494865,30.0
8,2023-07-01,0.1508145,0.8173582,4.398464
9,2023-10-01,0.15186548,0.8092715,4.5484586
10,2024-01-01,0.15396743,0.73539245,30.0
11,2024-04-01,0.17866527,0.74420184,10.58679
12,2024-07-01,0.15291645,0.6081729,24.188612
13,2024-10-01,0.059379928,0.36722276,23.615587
14,2025-01-01,0.045191802,0.35215214,16.318907
15,2025-04-01,0.08880714,0.44779488,19.88999
16,2025-07-01,0.12348923,0.5435102,5.6589694
17,2025-10-01,0.1434577,0.61009985,30.0
18,2026-01-01,0.17446138,0.6968703,18.12698
19,2026-04-01,0.19390436,0.6270303,30.0
20,2026-07-01,0.20599054,0.5728001,25.953327
21,2026-10-01,0.19810826,0.65386635,10.451841
22,2027-01-01,0.17078297,0.54426366,30.0
23,2027-04-01,0.13294798,0.50891143,20.503008
24,2027-07-01,0.10036784,0.3556242,18.869179
25,2027-10-01,0.10246979,0.33828226,0.0
26,2028-01-01,0.08723069,0.39337656,25.526228
27,2028-04-01,0.09511298,0.46235806,30.0
28,2028-07-01,0.118759856,0.53364253,30.0
29,2028-10-01,0.14608513,0.58907604,0.0
30,2029-01-01,0.13715187,0.5791519,6.3224297
31,2029-04-01,0.14871256,0.5880331,0.0
32,2029-07-01,0.15028901,0.5334191,29.802475
33,2029-10-01,0.15291645,0.53238934,0.0
34,2030-01-01,0.15344194,0.5348026,13.663389
35,2030-04-01,0.17919075,0.61215335,0.23072541
36,2030-07-01,0.17393589,0.5833417,30.0
37,2030-10-01,0.17656332,0.65526396,12.124914
38,2031-01-01,0.18024172,0.65497214,5.5451684
39,2031-04-01,0.17761429,0.6868513,3.8474715
40,2031-07-01,0.19863373,0.6316221,14.250304
41,2031-10-01,0.20914346,0.7222534,8.069405
42,2032-01-01,0.20914346,0.7355446,16.37775
43,2032-04-01,0.207567,0.8152347,8.725426
44,2032-07-01,0.22333159,0.9022439,11.988218
45,2032-10-01,0.24119811,1.0,12.236401
46,2033-01-01,0.2679979,0.94639075,3.3736162
47,2033-04-01,0.28008407,0.9295668,29.846588
48,2033-07-01,0.28008407,0.9112862,9.960607
49,2033-10-01,0.23436679,0.89583904,0.0
50,2034-01-01,0.20546505,0.8193545,4.9035563
51,2034-04-01,0.20599054,0.8056821,29.986418
52,2034-07-01,0.23331581,0.7770878,0.0
53,2034-10-01,0.26169208,0.840305,5.309482
54,2035-01-01,0.31529164,0.8798193,18.26218
55,2035-04-01,0.30005255,0.855193,0.0
56,2035-07-01,0.3126642,0.80362797,8.502335
57,2035-10-01,0.35312665,0.83951455,21.461794
58,2036-01-01,0.46400422,0.7888448,24.73234
59,2036-04-01,0.47714135,0.7679943,0.0
60,2036-07-01,0.4676826,0.6692942,0.0
61,2036-10-01,0.40409878,0.59884214,25.68783
62,2037-01-01,0.3962165,0.55237246,20.738014
63,2037-04-01,0.32685235,0.5617149,12.935307
64,2037-07-01,0.25380978,0.43401948,27.217228
65,2037-10-01,0.19127694,0.5634839,0.0
66,2038-01-01,0.25433525,0.5421343,2.2555902
67,2038-04-01,0.28796637,0.5388302,0.0
68,2038-07-01,0.21387284,0.4955505,16.036036
69,2038-10-01,0.19758277,0.56390464,11.040552
70,2039-01-01,0.2306884,0.6660276,16.490572
71,2039-04-01,0.25223333,0.67887604,6.5631633
72,2039-07-01,0.27640566,0.7434665,29.740133
73,2039-10-01,0.36889124,0.86397856,30.0
74,2040-01-01,0.4424593,0.88275886,30.0
75,2040-04-01,0.5627956,0.783566,6.749894
76,2040-07-01,0.51918024,0.7891242,0.0
77,2040-10-01,0.48765108,0.66549045,12.434443
78,2041-01-01,0.62322646,0.6212191,15.11834
79,2041-04-01,0.5922228,0.49632218,12.51193
80,2041-07-01,0.4445612,0.41292053,26.009771
81,2041-10-01,0.2874409,0.27611095,30.0
82,2042-01-01,0.28796637,0.2709247,21.40928
83,2042-04-01,0.32422492,0.3322595,0.0
84,2042-07-01,0.26957434,0.3702476,9.897464
85,2042-10-01,0.25065684,0.47003278,28.55988
86,2043-01-01,0.28428796,0.46818706,0.0
87,2043-04-01,0.27220178,0.45302537,5.915448
88,2043-07-01,0.24067262,0.44951978,25.118004
89,2043-10-01,0.24277456,0.47590998,30.0
90,2044-01-01,0.2795586,0.5525789,30.0
91,2044-04-01,0.31897005,0.6198079,16.732061
92,2044-07-01,0.34104046,0.5612108,30.0
93,2044-10-01,0.35312665,0.5241011,0.0
94,2045-01-01,0.395691,0.7299011,23.691824
95,2045-04-01,0.44035733,0.7388969,30.0
96,2045-07-01,0.52338415,0.7710655,28.354425
97,2045-10-01,0.52653706,0.7190915,0.0
98,2046-01-01,0.5370468,0.6645992,30.0
99,2046-04-01,0.5969522,0.6584744,17.067333
100,2046-07-01,0.7204414,0.62226456,0.0
101,2046-10-01,0.89963216,0.5960382,28.654879
102,2047-01-01,0.49395692,0.41099262,23.737106
103,2047-04-01,0.56752497,0.3677949,14.160719
104,2047-07-01,0.9894903,0.45683575,7.755106
105,2047-10-01,0.76878613,0.5496453,14.4999275
106,2048-01-01,1.0,0.4542754,30.0
107,2048-04-01,0.830268,0.48972774,30.0
108,2048-07-01,0.6463479,0.36685926,15.760513
109,2048-10-01,0.7677352,0.213812,18.51618
110,2049-01-01,0.7398844,0.19540718,30.0
111,2049-04-01,0.53809774,0.1215157,18.674952
112,2049-07-01,0.46663162,0.07477671,16.233248
113,2049-10-01,0.45717287,0.110151775,28.38423
114,2050-01-01,0.4682081,0.20584115,9.076564
115,2050-04-01,0.49290594,0.28331596,16.579966
116,2050-07-01,0.49395692,0.36588523,0.0
117,2050-10-01,0.5170783,0.42167804,15.074764
