,date,Inflation,Output_Gap,Interest_Rate,Omega_Psi
0,2021-07-01,0.06358381,0.58823246,0.0,0.3147589
1,2021-10-01,0.06726222,0.744977,30.0,0.0
2,2022-01-01,0.082501315,0.8146353,26.533283,0.8495177
3,2022-04-01,0.11087756,0.86621606,7.1789308,0.9736061
4,2022-07-01,0.12664214,0.86282337,22.97013,0.0
5,2022-10-01,0.12769312,0.7880506,30.0,0.0
6,2023-01-01,0.13872832,0.8022705,30.0,0.8655799
7,2023-04-01,0.15134,0.7494865,1.2116987,0.7052594
8,2023-07-01,0.1508145,0.8173582,16.188313,0.022799075
9,2023-10-01,0.15186548,0.8092715,10.140365,0.17368862
10,2024-01-01,0.15396743,0.73539245,0.0,0.04370615
11,2024-04-01,0.17866527,0.74420184,18.651798,0.10780138
12,2024-07-01,0.15291645,0.6081729,16.337591,1.0
13,2024-10-01,0.059379928,0.36722276,13.751024,0.14237139
14,2025-01-01,0.045191802,0.35215214,0.0,0.20457438
15,2025-04-01,0.08880714,0.44779488,0.0,0.18922523
16,2025-07-01,0.12348923,0.5435102,22.000563,0.24003163
17,2025-10-01,0.1434577,0.61009985,30.0,0.0
18,2026-01-01,0.17446138,0.6968703,26.456268,0.01232031
19,2026-04-01,0.19390436,0.6270303,15.46784,1.0
20,2026-07-01,0.20599054,0.5728001,3.1524637,1.0
21,2026-10-01,0.19810826,0.65386635,30.0,0.081374496
22,2027-01-01,0.17078297,0.54426366,13.163351,0.062448025
23,2027-04-01,0.13294798,0.50891143,25.929844,1.0
24,2027-07-01,0.10036784,0.3556242,0.0,1.0
25,2027-10-01,0.10246979,0.33828226,0.0,0.97885275
26,2028-01-01,0.08723069,0.39337656,0.0,1.0
27,2028-04-01,0.09511298,0.46235806,0.0,0.3400285
28,2028-07-01,0.118759856,0.53364253,27.23834,0.0
29,2028-10-01,0.14608513,0.58907604,30.0,1.0
30,2029-01-01,0.13715187,0.5791519,30.0,0.63304925
31,2029-04-01,0.14871256,0.5880331,0.0,0.66972363
32,2029-07-01,0.15028901,0.5334191,27.809523,0.6807711
33,2029-10-01,0.15291645,0.53238934,30.0,0.2879548
34,2030-01-01,0.15344194,0.5348026,18.682484,0.0
35,2030-04-01,0.17919075,0.61215335,30.0,0.9309765
36,2030-07-01,0.17393589,0.5833417,18.199741,0.118315995
37,2030-10-01,0.17656332,0.65526396,0.0,0.80045927
38,2031-01-01,0.18024172,0.65497214,14.737325,0.7462579
39,2031-04-01,0.17761429,0.6868513,25.319466,0.3307106
40,2031-07-01,0.19863373,0.6316221,24.663313,0.9241018
41,2031-10-01,0.20914346,0.7222534,30.0,1.0
42,2032-01-01,0.20914346,0.7355446,0.5997804,0.93983227
